🐼看电视呗👉打卡,#genre#
中天亚洲台HD,http://mywlkj.ddns.net:754/tv/tw.php?id=3
台视新闻HD,http://mywlkj.ddns.net:754/tv/tw.php?id=4
TVBS新闻台HD,http://mywlkj.ddns.net:754/tv/tw.php?id=5
台视新闻,http://mywlkj.ddns.net:754/tv/tw.php?id=6
中天新闻,http://mywlkj.ddns.net:754/tv/tw.php?id=7
公视,http://mywlkj.ddns.net:754/tv/tw.php?id=8
东森LIVE,http://mywlkj.ddns.net:754/tv/tw.php?id=9
镜新闻,http://mywlkj.ddns.net:754/tv/tw.php?id=10
民视新闻台HD,http://mywlkj.ddns.net:754/tv/tw.php?id=11
三立新闻+,http://mywlkj.ddns.net:754/tv/tw.php?id=12
华视新闻资讯,http://mywlkj.ddns.net:754/tv/tw.php?id=13
东森财经新闻HD,http://mywlkj.ddns.net:754/tv/tw.php?id=14
CGTN,http://mywlkj.ddns.net:754/tv/tw.php?id=15
中天新闻,http://mywlkj.ddns.net:754/tv/tw.php?id=16
猪哥会社,http://mywlkj.ddns.net:754/tv/tw.php?id=17
TVBS新闻,http://mywlkj.ddns.net:754/tv/tw.php?id=18
TVBS news,http://mywlkj.ddns.net:754/tv/tw.php?id=19
东森财经新闻,http://mywlkj.ddns.net:754/tv/tw.php?id=20
东森LIVE,http://mywlkj.ddns.net:754/tv/tw.php?id=21
镜新闻,http://mywlkj.ddns.net:754/tv/tw.php?id=22
大爱1,http://mywlkj.ddns.net:754/tv/tw.php?id=23
中视,http://mywlkj.ddns.net:754/tv/tw.php?id=24

Now SPORTS,http://119.23.61.191:8088/HK/nowbg/hls.m3u8
Now 新闻台,http://58.87.99.251:8090/HK/nowxingying/hls.m3u8
广电翡翠2,http://58.87.99.251:8090/GN/gdfc2/hls.m3u8
翡翠,http://58.87.99.251:8090/HK/tvb/hls.m3u8
有线18,http://58.87.99.251:8090/HK/yx18/hls.m3u8
中天新闻,http://58.87.99.251:8090/HK/ztxw/hls.m3u8

TVB星河,http://mywlkj.ddns.net:754/tv/gdsz.php?id=31
TVB星河,http://mywlkj.ddns.net:754/tv/gdsz.php?id=32
华数,http://mywlkj.ddns.net:754/tv/gdsz.php?id=12
华数2,http://mywlkj.ddns.net:754/tv/gdsz.php?id=14
华数3,http://mywlkj.ddns.net:754/tv/gdsz.php?id=39

🔥港澳台区👉48秒,#genre#
亚洲美食台 HD,http://startv365.com:80/live/9794783213/6955630461/5566.m3u8
亚洲旅游台 HD,http://startv365.com:80/live/9794783213/6955630461/5565.m3u8
八大戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5564.m3u8
八大娱乐 HD,http://startv365.com:80/live/9794783213/6955630461/5563.m3u8
八大第一 HD,http://startv365.com:80/live/9794783213/6955630461/5562.m3u8
八大综合 HD,http://startv365.com:80/live/9794783213/6955630461/5561.m3u8
博斯高球1台 HD,http://startv365.com:80/live/9794783213/6955630461/5560.m3u8
博斯高球2台 HD,http://startv365.com:80/live/9794783213/6955630461/5559.m3u8
博斯体育1台 HD,http://startv365.com:80/live/9794783213/6955630461/5558.m3u8
博斯体育2台 HD,http://startv365.com:80/live/9794783213/6955630461/5557.m3u8
中天亚洲台 HD,http://startv365.com:80/live/9794783213/6955630461/5555.m3u8
中天娱乐 HD,http://startv365.com:80/live/9794783213/6955630461/5554.m3u8
中天综合 HD,http://startv365.com:80/live/9794783213/6955630461/5552.m3u8
华视 HD,http://startv365.com:80/live/9794783213/6955630461/5551.m3u8
公视1台 HD,http://startv365.com:80/live/9794783213/6955630461/5550.m3u8
公视2台 HD,http://startv365.com:80/live/9794783213/6955630461/5549.m3u8
大爱2台 HD,http://startv365.com:80/live/9794783213/6955630461/5548.m3u8
大爱1台 HD,http://startv365.com:80/live/9794783213/6955630461/5547.m3u8
爱尔达戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5546.m3u8
爱尔达体育2台 HD,http://startv365.com:80/live/9794783213/6955630461/5545.m3u8
爱尔达体育3台 HD,http://startv365.com:80/live/9794783213/6955630461/5544.m3u8
爱尔达影剧 HD,http://startv365.com:80/live/9794783213/6955630461/5542.m3u8
爱尔达综合 HD,http://startv365.com:80/live/9794783213/6955630461/5541.m3u8
东森亚洲 HD,http://startv365.com:80/live/9794783213/6955630461/5540.m3u8
东森财经 HD,http://startv365.com:80/live/9794783213/6955630461/5539.m3u8
东森戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5538.m3u8
东森电影 HD,http://startv365.com:80/live/9794783213/6955630461/5537.m3u8
东森新闻 HD,http://startv365.com:80/live/9794783213/6955630461/5536.m3u8
东森洋片 HD,http://startv365.com:80/live/9794783213/6955630461/5534.m3u8
壹电视旅游台 HD,http://startv365.com:80/live/9794783213/6955630461/5533.m3u8
壹电视新闻台 HD,http://startv365.com:80/live/9794783213/6955630461/5532.m3u8
非凡新闻 HD,http://startv365.com:80/live/9794783213/6955630461/5531.m3u8
民视高清台 HD,http://startv365.com:80/live/9794783213/6955630461/5530.m3u8
民视新闻台 HD,http://startv365.com:80/live/9794783213/6955630461/5529.m3u8
民视台湾台 HD,http://startv365.com:80/live/9794783213/6955630461/5528.m3u8
好电视2台 HD,http://startv365.com:80/live/9794783213/6955630461/5527.m3u8
好莱坞电影 HD,http://startv365.com:80/live/9794783213/6955630461/5526.m3u8
寰宇财经 HD,http://startv365.com:80/live/9794783213/6955630461/5525.m3u8
JET TV HD,http://startv365.com:80/live/9794783213/6955630461/5522.m3u8
Arirang HD,http://startv365.com:80/live/9794783213/6955630461/5521.m3u8
龙华偶像 HD,http://startv365.com:80/live/9794783213/6955630461/5518.m3u8
龙华电影 HD,http://startv365.com:80/live/9794783213/6955630461/5516.m3u8
龙华洋片 HD,http://startv365.com:80/live/9794783213/6955630461/5515.m3u8
龙华戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5514.m3u8
龙祥时代 HD,http://startv365.com:80/live/9794783213/6955630461/5513.m3u8
美亚电影 HD,http://startv365.com:80/live/9794783213/6955630461/5511.m3u8
东森MOMO HD,http://startv365.com:80/live/9794783213/6955630461/5510.m3u8
年代新闻 HD,http://startv365.com:80/live/9794783213/6955630461/5509.m3u8
年代电视 HD,http://startv365.com:80/live/9794783213/6955630461/5508.m3u8
壹电视 HD,http://startv365.com:80/live/9794783213/6955630461/5507.m3u8
三立都会 HD,http://startv365.com:80/live/9794783213/6955630461/5506.m3u8
三立台湾 HD,http://startv365.com:80/live/9794783213/6955630461/5505.m3u8
三立戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5504.m3u8
三立综合 HD,http://startv365.com:80/live/9794783213/6955630461/5503.m3u8
台视台湾台 HD,http://startv365.com:80/live/9794783213/6955630461/5502.m3u8
台视新闻台 HD,http://startv365.com:80/live/9794783213/6955630461/5501.m3u8
台视综合台 HD,http://startv365.com:80/live/9794783213/6955630461/5500.m3u8
TVBS N HD,http://startv365.com:80/live/9794783213/6955630461/5499.m3u8
TVBS G HD,http://startv365.com:80/live/9794783213/6955630461/5498.m3u8
TVBS欢乐台 HD,http://startv365.com:80/live/9794783213/6955630461/5497.m3u8
TVBS HD,http://startv365.com:80/live/9794783213/6955630461/5496.m3u8
纬来日本 HD,http://startv365.com:80/live/9794783213/6955630461/5495.m3u8
纬来精彩 HD,http://startv365.com:80/live/9794783213/6955630461/5494.m3u8
纬来体育 HD,http://startv365.com:80/live/9794783213/6955630461/5492.m3u8
卫视中文台 HD,http://startv365.com:80/live/9794783213/6955630461/5489.m3u8
星卫电影 HD,http://startv365.com:80/live/9794783213/6955630461/5488.m3u8
星卫娱乐 HD,http://startv365.com:80/live/9794783213/6955630461/5487.m3u8
中视 HD,http://startv365.com:80/live/9794783213/6955630461/5486.m3u8
中视高清 HD,http://startv365.com:80/live/9794783213/6955630461/5485.m3u8
中视新闻台 HD,http://startv365.com:80/live/9794783213/6955630461/5484.m3u8
纬来综合 HD,http://startv365.com:80/live/9794783213/6955630461/5490.m3u8
纬来电视· HD,http://startv365.com:80/live/9794783213/6955630461/5491.m3u8
纬来电影 HD,http://startv365.com:80/live/9794783213/6955630461/5493.m3u8
漫迪日本 HD,http://startv365.com:80/live/9794783213/6955630461/5512.m3u8
龙华经典 HD,http://startv365.com:80/live/9794783213/6955630461/5517.m3u8
靖天国际 HD,http://startv365.com:80/live/9794783213/6955630461/5519.m3u8
靖天咨询 HD,http://startv365.com:80/live/9794783213/6955630461/5520.m3u8
寰宇新闻 HD,http://startv365.com:80/live/9794783213/6955630461/5523.m3u8
寰宇台湾 HD,http://startv365.com:80/live/9794783213/6955630461/5524.m3u8
东森超视 HD,http://startv365.com:80/live/9794783213/6955630461/5535.m3u8
爱尔达体育台 HD,http://startv365.com:80/live/9794783213/6955630461/5543.m3u8
中天新闻 HD,http://startv365.com:80/live/9794783213/6955630461/5553.m3u8
博斯网球 HD,http://startv365.com:80/live/9794783213/6955630461/5556.m3u8
YOYO TV,http://startv365.com:80/live/9794783213/6955630461/473533.m3u8
美国城市卫视,http://startv365.com:80/live/9794783213/6955630461/473534.m3u8
天下卫视2,http://startv365.com:80/live/9794783213/6955630461/473535.m3u8
天下卫视,http://startv365.com:80/live/9794783213/6955630461/473536.m3u8
台视新闻,http://startv365.com:80/live/9794783213/6955630461/473537.m3u8
东森美洲,http://startv365.com:80/live/9794783213/6955630461/473538.m3u8
东森财经,http://startv365.com:80/live/9794783213/6955630461/473539.m3u8
东森戏剧,http://startv365.com:80/live/9794783213/6955630461/473540.m3u8
东森卫视,http://startv365.com:80/live/9794783213/6955630461/473541.m3u8
ET中国,http://startv365.com:80/live/9794783213/6955630461/473542.m3u8
台视综合,http://startv365.com:80/live/9794783213/6955630461/473543.m3u8
华视,http://startv365.com:80/live/9794783213/6955630461/473544.m3u8
三立国际,http://startv365.com:80/live/9794783213/6955630461/473545.m3u8
民视,http://startv365.com:80/live/9794783213/6955630461/473546.m3u8

🔥央视频区👉代理,#genre#

CCTV-1综合,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=1
CCTV-2财经,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=2
CCTV-3综艺,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=3
CCTV-4国际,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=4
CCTV-5体育,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=5
CCTV-5+赛事,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=6
CCTV-6电影,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=7
CCTV-7军事,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=8
CCTV-8电视剧,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=9
CCTV-9记录,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=10
CCTV-10科教,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=11
CCTV-11戏曲,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=12
CCTV-12社会,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=13
CCTV-13新闻,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=14
CCTV-14少儿,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=15
CCTV-15音乐,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=16
CCTV-16奥林,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=17
CCTV-17农村,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=18
东南卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=19
东方卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=20
北京卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=21
四川卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=22
天津卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=23
安徽卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=24
广东卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=25
广西卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=26
新疆卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=27
江苏卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=28
江西卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=29
河北卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=30
河南卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=31
浙江卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=32
海南卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=33
深圳卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=34
湖北卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=35
湖南卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=36
贵州卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=37
辽宁卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=38
重庆卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=39
黑龙江卫视,http://mywlkj.ddns.net:754/tv/qqcloud.php?id=40

优优宝贝,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel11007/index.m3u8
河南都市,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41101/index.m3u8
河南民生,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41102/index.m3u8
河南法制,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41103/index.m3u8
河南电视剧,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41104/index.m3u8
河南新闻,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41105/index.m3u8
河南公共,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41106/index.m3u8
河南乡村,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41107/index.m3u8
山东教育,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel37001/index.m3u8
CHC高清电影,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel43063/index.m3u8
梨园频道,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13001/index.m3u8
河北杂技,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13002/index.m3u8
河北经济生活,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13003/index.m3u8
河北农民,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13004/index.m3u8
河北都市,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13005/index.m3u8
河北电视剧,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13006/index.m3u8
河北少儿,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13007/index.m3u8
河北公共,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13008/index.m3u8
邯郸新闻综合,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13009/index.m3u8
河北收视指南,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13010/index.m3u8
石家庄娱乐,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13011/index.m3u8
石家庄生活,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13012/index.m3u8
石家庄都市,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13013/index.m3u8
石家庄新闻综合,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel13014/index.m3u8
宝塔电视台,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225885/index.m3u8
留坝电视台,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225943/index.m3u8
平利电视台,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225924/index.m3u8
平利电视台,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225846/index.m3u8
蒲城综合,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225913/index.m3u8

🔥百事通区👉8M,#genre#

CCTV1 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=1
CCTV2 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=2
CCTV3 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=3
CCTV4 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=4
CCTV5 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=5
CCTV5+ 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=6
CCTV6 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=7
CCTV7 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=8
CCTV8 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=9
CCTV9 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=10
CCTV10 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=11
CCTV11 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=12
CCTV12 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=13
CCTV13 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=14
CCTV14 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=15
CCTV15 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=16
CCTV16 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=17
CCTV17 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=18
北京卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=19
东方卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=20
天津卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=21
重庆卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=22
黑龙江卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=23
吉林卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=24
辽宁卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=25
内蒙古卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=26
宁夏卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=27
甘肃卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=28
青海卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=29
陕西卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=30
河北卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=31
山西卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=32
山东卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=33
安徽卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=34
河南卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=35
湖北卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=36
湖南卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=37
江西卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=38
江苏卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=39
浙江卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=40
东南卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=41
广东卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=42
深圳卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=43
广西卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=44
云南卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=45
贵州卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=46
四川卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=47
新疆卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=48
兵团卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=49
西藏卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=50
海南卫视 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=51
厦门卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=52
康巴卫视 2M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=53
电竞天堂 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=54
青春动漫 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=55
宝宝动画 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=56
卡酷少儿 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=57
炫动卡通 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=58
动漫秀场 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=59
中国教育-1 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=60
中国教育-2 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=61
中国教育-4 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=62
欢笑剧场 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=63
快乐垂钓 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=64
金鹰纪实 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=65
戏曲精选 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=66
茶频道 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=67
财富天下 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=68
中国天气 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=69
看天下精选 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=70
华语影院 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=71
星光影院 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=72
谍战剧场 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=73
都市剧场 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=74
全球大片 8M,http://mywlkj.ddns.net:754/tv/bst8m.php?id=75
